iter	Passed	Remaining
840	1780	336
841	1781	334
842	1784	332
843	1786	330
844	1787	327
845	1788	325
846	1789	323
847	1793	321
848	1794	319
849	1795	316
850	1796	314
851	1799	312
852	1801	310
853	1802	308
854	1803	305
855	1807	303
856	1808	301
857	1810	299
858	1811	297
859	1812	295
860	1815	293
861	1816	290
862	1818	288
863	1819	286
864	1822	284
865	1823	282
866	1824	279
867	1825	277
868	1826	275
869	1830	273
870	1831	271
871	1832	269
872	1833	266
873	1834	264
874	1838	262
875	1839	260
876	1840	258
877	1841	255
878	1842	253
879	1844	251
880	1845	249
881	1847	247
882	1848	244
883	1851	242
884	1852	240
885	1854	238
886	1855	236
887	1858	234
888	1860	232
889	1861	230
890	1863	227
891	1866	225
892	1867	223
893	1869	221
894	1870	219
895	1871	217
896	1874	215
897	1875	213
898	1877	210
899	1881	209
900	1883	206
901	1884	204
902	1888	202
903	1889	200
904	1891	198
905	1892	196
906	1896	194
907	1897	192
908	1899	190
909	1900	187
910	1903	185
911	1905	183
912	1906	181
913	1907	179
914	1911	177
915	1912	175
916	1913	173
917	1915	171
918	1918	169
919	1920	166
920	1921	164
921	1922	162
922	1926	160
923	1927	158
924	1929	156
925	1930	154
926	1934	152
927	1935	150
928	1936	148
929	1938	145
930	1941	143
931	1942	141
932	1944	139
933	1945	137
934	1948	135
935	1950	133
936	1951	131
937	1952	129
938	1954	126
939	1957	124
940	1959	122
941	1961	120
942	1965	118
943	1967	116
944	1969	114
945	1973	112
946	1975	110
947	1976	108
948	1980	106
949	1981	104
950	1983	102
951	1984	100
952	1988	98
953	1989	95
954	1991	93
955	1992	91
956	1996	89
957	1997	87
958	1999	85
959	2002	83
960	2004	81
961	2005	79
962	2007	77
963	2010	75
964	2012	72
965	2013	70
966	2014	68
967	2016	66
968	2019	64
969	2021	62
970	2022	60
971	2023	58
972	2027	56
973	2028	54
974	2029	52
975	2031	49
976	2034	47
977	2036	45
978	2037	43
979	2038	41
980	2042	39
981	2043	37
982	2044	35
983	2046	33
984	2049	31
985	2051	29
986	2053	27
987	2054	24
988	2058	22
989	2060	20
990	2061	18
991	2066	16
992	2067	14
993	2069	12
994	2072	10
995	2075	8
996	2076	6
997	2081	4
998	2083	2
999	2089	0
